"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\getAllStudents.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\observaciones.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\pathBase.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\serviciosApi\vinculosGuardianes.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 10, 189
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\utils\formatedDate.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\src\utils\userIsAdmin.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\tailwind.config.cjs", "JavaScript", 26, 0, 0, 0, 0, 0, 1, 2, 29
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\vercel.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\migue\OneDrive\Escritorio\SisEva2.0\tesis\school-admin-dashboard\vite.config.js.timestamp-1750177740383.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 1, 9
"Total", "-", 1176, 5604, 6795, 20, 6, 13, 157, 842, 14613
